,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
68,t#jc019,False,53,1,equal,ST2_low_5_a2,P = T1?,Same,2,2,low,96,1.3,154,0.81,154,0.72,No,quiteSure,cr,3.0289623737335205,NA
69,t#jc019,False,54,1,equal,STb_1_a2,P = T1?,Same,0,2,None,60,1.61,60,1.8,60,1.86,Yes,sure,hit,3.0793237686157227,NA
70,t#jc019,False,55,1,equal,ST1_low_6_a1,P = T1?,Same,1,1,low,154,0.93,96,1.34,154,0.87,Yes,sure,hit,2.963104248046875,NA
71,t#jc019,False,56,1,equal,STb_5_a1,P = T1?,Same,0,1,None,112,1.04,112,1.19,112,1.16,Yes,sure,hit,1.285853624343872,NA
72,t#jc019,False,57,1,equal,ST2_low_3_a1,P = T1?,Same,2,1,low,70,1.41,112,1.04,112,1.15,No,quiteSure,cr,1.0223932266235352,NA
73,t#jc019,False,58,1,equal,ST2_high_5_a1,P = T1?,Same,2,1,high,96,1.38,132,1.05,132,0.91,No,sure,cr,1.6605150699615479,NA
74,t#jc019,False,59,1,equal,ST1_high_5_a2,P = T1?,Same,1,2,high,96,1.11,132,0.84,96,1.09,Yes,unsure,hit,6.704440593719482,NA
75,t#jc019,False,60,1,equal,ST2_high_1_a1,P = T1?,Same,2,1,high,82,1.41,112,0.92,112,1.07,Yes,unsure,fa,4.623606204986572,NA
76,t#jc019,False,61,1,equal,ST1_low_4_a2,P = T1?,Same,1,2,low,112,1.21,70,1.59,112,1.22,Yes,sure,hit,2.252211332321167,NA
77,t#jc019,False,62,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.44,132,0.79,132,1.0,No,unsure,cr,1.996934175491333,NA
78,t#jc019,False,63,1,equal,STb_7_a1,P = T1?,Same,0,1,None,154,0.78,154,0.68,154,0.97,No,unsure,miss,4.13840389251709,NA
